"1",4.032,322.121,180,21,0.367286159194611,550.8,40,36,20,1,11
"1",6.716,466.552,225,26,0.399979720431665,606.1,40,36,20,2,11
"1",5.865,822.015,306,35,0.410391830231042,702.2,40,36,20,3,11
"1",5.88,867.752,324,37,0.412631273991454,724.6,40,36,20,4,11
"1",8.333,1132.429,450,56,0.418784674440501,949.8,40,36,20,6,11
"1",7.916,1160.519,405,46,0.413723473600348,851.1,40,36,20,5,11
"1",15.829,1151.466,486,55,0.38812776128051,940.7,10,9,20,16,21
"1",65.043,1151.15,441,50,0.473858187875715,4995.8,40,36,10,31,31
"1",42.034,1442.925,558,63,0.444985876729195,2648.2,30,27,20,18,21
"1",10.066,1499.359,522,65,0.420007242702977,1072.2,40,36,20,7,11
"1",151.729,1381.605,567,64,0.519774027667125,10979.8,60,54,20,21,21
"1",107.67,1538.125,567,64,0.504755558774535,7871.1,50,45,20,20,21
"1",62.194,1608.643,531,60,0.473750995871659,4995.8,40,36,20,32,31
"1",67.642,1644.062,531,60,0.473750995871659,4995.8,40,36,20,19,21
"1",25.135,1694.898,531,60,0.420334612877526,1122,20,18,20,17,21
"1",64.133,1659.767,621,70,0.474799739262693,4995.8,40,36,30,33,31
"1",11.606,1917.12,522,74,0.420010139784167,1210.5,40,36,20,8,11
"1",195.31,1805.823,540,61,0.537359310494677,14615.1,70,63,20,22,21
"1",271.082,1858.484,567,64,0.57356703121605,21580.2,90,81,20,24,21
"1",4.032,322.121,180,21,0.367286159194611,550.8,40,36,20,39,41
"1",6.716,466.552,225,26,0.399979720431665,606.1,40,36,20,40,41
"1",20.347,824.746,324,37,0.431682479901499,1328.2,40,36,20,41,41
"1",13.972,2313.742,621,85,0.427499094662128,1365.9,40,36,20,9,11
"1",15.336,2587.966,621,87,0.427542550879988,1396.2,40,36,20,10,11
"1",60.986,1165.804,450,51,0.462145288621714,4990.5,40,36,20,42,41
"1",29.401,2858.167,720,98,0.449615412471935,1549.2,40,36,20,11,11
"1",62.166,1634.563,531,60,0.473750995871659,4990.5,40,36,20,43,41
"1",64.976,1799.182,630,71,0.474066777721446,4993.2,40,36,20,44,41
"1",33.491,3244.428,801,107,0.450461360179619,1682.1,40,36,20,12,11
"1",75.618,2914.332,711,80,0.474889548779605,4995.8,40,36,40,34,31
"1",80.182,2957.127,801,90,0.475393640906786,4995.8,40,36,50,35,31
"1",38.305,3661.251,801,116,0.45046425726081,1815.8,40,36,20,13,11
"1",72.643,2253.283,675,81,0.474906931266749,4995.8,40,36,20,45,41
"1",37.757,3829.65,801,127,0.450478742666763,1970.5,40,36,20,14,11
"1",81.943,4762.509,927,141,0.475944086333019,5018.3,40,36,20,15,11
"1",393.2,2106.206,576,65,0.558731078438473,18044.1,80,72,20,23,21
